Database|Continent|Reference|Sample_ID|Age|d18O|d18O_2sigma|Lu176_Hf177|Hf176_Hf177|Hf176_Hf177_2sigma|eHf_initial|eHf_initial_2sigma|Tdm
Dhuime et al., 2012 Science|Australia|Dhuime et al., 2012 Science|1774-98|517|9.6|0.6|0.00002|0.282406|0.000021|-1.9|0.8|1406
Dhuime et al., 2012 Science|Australia|Dhuime et al., 2012 Science|1774-99|528|8.2|0.5|0.00037|0.281765|0.000024|-24.5|0.9|2856
Dhuime et al., 2012 Science|Australia|Dhuime et al., 2012 Science|1774-100|482|9.6|0.5|0.00037|0.282378|0.000023|-3.8|0.8|1501
Dhuime et al., 2012 Science|Australia|Dhuime et al., 2012 Science|1774-101|530|7.7|0.5|0.00011|0.281996|0.000026|-16.1|0.9|2331
Dhuime et al., 2012 Science|Australia|Dhuime et al., 2012 Science|2641-01|482|6.6|0.5|0.00083|0.282059|0.000026|-15.2|0.9|2234
Dhuime et al., 2012 Science|Australia|Dhuime et al., 2012 Science|2641-02|1428|6.1|0.5|0.00079|0.281976|0.000034|2.8|1.2|1843
Dhuime et al., 2012 Science|Australia|Dhuime et al., 2012 Science|2641-03|477|6.8|0.5|0.00119|0.282569|0.000035|2.6|1.2|1083
Dhuime et al., 2012 Science|Australia|Dhuime et al., 2012 Science|2641-04|366|6.5|0.5|0.00097|0.282696|0.000031|4.8|1.1|852
Dhuime et al., 2012 Science|Australia|Dhuime et al., 2012 Science|2641-05|394|7.8|0.6|0.00106|0.282412|0.000024|-4.7|0.9|1491
Dhuime et al., 2012 Science|Australia|Dhuime et al., 2012 Science|2641-06|2494|6.8|0.5|0.00052|0.280956|0.000026|-9.0|0.9|3439
Dhuime et al., 2012 Science|Australia|Dhuime et al., 2012 Science|2641-07|1200|6.4|0.5|0.00027|0.282145|0.000027|4.1|1.0|1572
Dhuime et al., 2012 Science|Australia|Dhuime et al., 2012 Science|2641-08|535|8.0|0.5|0.00002|0.282386|0.000018|-2.2|0.6|1443
Dhuime et al., 2012 Science|Australia|Dhuime et al., 2012 Science|2641-09|615|9.5|0.5|0.00045|0.282412|0.000030|0.3|1.1|1341
Dhuime et al., 2012 Science|Australia|Dhuime et al., 2012 Science|2641-10|583|7.0|0.5|0.00012|0.281797|0.000024|-22.0|0.9|2743
Dhuime et al., 2012 Science|Australia|Dhuime et al., 2012 Science|2641-11|400|7.3|0.5|0.00138|0.282423|0.000043|-4.2|1.5|1466
Dhuime et al., 2012 Science|Australia|Dhuime et al., 2012 Science|2641-12a|531|10.1|0.5|0.00023|0.282353|0.000022|-3.5|0.8|1523
Dhuime et al., 2012 Science|Australia|Dhuime et al., 2012 Science|2641-12b|536|10.2|0.4|0.00024|0.282347|0.000025|-3.6|0.9|1535
Dhuime et al., 2012 Science|Australia|Dhuime et al., 2012 Science|2641-13|534|6.4|0.4|0.00011|0.282336|0.000023|-4.0|0.8|1557
Dhuime et al., 2012 Science|Australia|Dhuime et al., 2012 Science|2641-14|2261|8.0|0.4|0.00019|0.281225|0.000026|-4.3|0.9|2958
Dhuime et al., 2012 Science|Australia|Dhuime et al., 2012 Science|2641-15|1163|6.2|0.5|0.00071|0.282133|0.000028|2.5|1.0|1645
Dhuime et al., 2012 Science|Australia|Dhuime et al., 2012 Science|2641-16|405|9.1|0.9|0.00087|0.282608|0.000027|2.5|1.0|1031
Dhuime et al., 2012 Science|Australia|Dhuime et al., 2012 Science|2641-17|471|10.9|1.4|0.00086|0.282299|0.000028|-7.0|1.0|1698
Dhuime et al., 2012 Science|Australia|Dhuime et al., 2012 Science|2641-18|476|10.0|0.4|0.00040|0.282313|0.000034|-6.2|1.2|1654
Dhuime et al., 2012 Science|Australia|Dhuime et al., 2012 Science|2641-19|582|9.3|0.4|0.00032|0.282407|0.000027|-0.5|0.9|1370
Dhuime et al., 2012 Science|Australia|Dhuime et al., 2012 Science|2641-20|2718|3.0|0.4|0.00054|0.280858|0.000026|-7.3|0.9|3518
Dhuime et al., 2012 Science|Australia|Dhuime et al., 2012 Science|2641-21|530|7.0|0.5|0.00077|0.282154|0.000037|-10.8|1.3|1990
Dhuime et al., 2012 Science|Australia|Dhuime et al., 2012 Science|2641-22|1195|6.6|0.5|0.00079|0.282179|0.000024|4.8|0.9|1526
Dhuime et al., 2012 Science|Australia|Dhuime et al., 2012 Science|2641-23|950|9.5|1.0|0.00027|0.282041|0.000026|-5.2|0.9|1968
Dhuime et al., 2012 Science|Australia|Dhuime et al., 2012 Science|2641-24|629|8.8|0.8|0.00063|0.282427|0.000032|1.1|1.1|1303
Dhuime et al., 2012 Science|Australia|Dhuime et al., 2012 Science|2641-25|402|8.1|0.7|0.00093|0.282353|0.000026|-6.6|0.9|1617
Dhuime et al., 2012 Science|Australia|Dhuime et al., 2012 Science|2641-26|594|8.0|0.7|0.00102|0.282458|0.000031|1.3|1.1|1263
Dhuime et al., 2012 Science|Australia|Dhuime et al., 2012 Science|2641-27|522|7.2|0.7|0.00008|0.281321|0.000033|-40.2|1.2|3833
Dhuime et al., 2012 Science|Australia|Dhuime et al., 2012 Science|2641-28|1068|10.0|1.0|0.00151|0.282111|0.000026|-1.0|0.9|1791
Dhuime et al., 2012 Science|Australia|Dhuime et al., 2012 Science|2641-29|637|8.6|0.9|0.00054|0.282417|0.000026|1.0|0.9|1318
Dhuime et al., 2012 Science|Australia|Dhuime et al., 2012 Science|2641-30|1459|5.9|0.5|0.00069|0.282036|0.000028|5.7|1.0|1681
Dhuime et al., 2012 Science|Australia|Dhuime et al., 2012 Science|2641-31|334|7.2|0.6|0.00134|0.282591|0.000028|0.3|1.0|1120
Dhuime et al., 2012 Science|Australia|Dhuime et al., 2012 Science|2641-32|727|8.4|0.5|0.00106|0.282328|0.000030|-0.4|1.1|1483
Dhuime et al., 2012 Science|Australia|Dhuime et al., 2012 Science|2641-33|951|9.1|0.5|0.00041|0.282205|0.000023|0.5|0.8|1601
Dhuime et al., 2012 Science|Australia|Dhuime et al., 2012 Science|2641-34|555|6.2|0.6|0.00002|0.282229|0.000027|-7.3|1.0|1787
Dhuime et al., 2012 Science|Australia|Dhuime et al., 2012 Science|2641-35|475|9.1|0.6|0.00080|0.282327|0.000025|-5.9|0.9|1631
Dhuime et al., 2012 Science|Australia|Dhuime et al., 2012 Science|2641-36|1030|9.5|0.6|0.00218|0.282188|0.000032|0.5|1.1|1669
Dhuime et al., 2012 Science|Australia|Dhuime et al., 2012 Science|2641-37|1068|6.0|0.7|0.00040|0.282210|0.000029|3.3|1.0|1515
Dhuime et al., 2012 Science|Australia|Dhuime et al., 2012 Science|2641-38|1793|7.5|0.6|0.00081|0.281661|0.000031|-0.3|1.1|2331
Dhuime et al., 2012 Science|Australia|Dhuime et al., 2012 Science|2641-39|550|14.1|0.6|0.00017|0.282149|0.000020|-10.3|0.7|1976
Dhuime et al., 2012 Science|Australia|Dhuime et al., 2012 Science|2641-40|3236|5.5|0.7|0.00172|0.280675|0.000031|-4.4|1.1|3755
Dhuime et al., 2012 Science|Australia|Dhuime et al., 2012 Science|2641-41|672|8.6|0.6|0.00036|0.282333|0.000023|-1.1|0.8|1483
Dhuime et al., 2012 Science|Australia|Dhuime et al., 2012 Science|2641-42|567|6.4|0.6|0.00020|0.282104|0.000020|-11.5|0.7|2067
Dhuime et al., 2012 Science|Australia|Dhuime et al., 2012 Science|2641-43|509|7.8|0.6|0.00029|0.282362|0.000023|-3.7|0.8|1518
Dhuime et al., 2012 Science|Australia|Dhuime et al., 2012 Science|2641-44|1021|5.2|0.6|0.00098|0.282383|0.000029|8.0|1.0|1174
Dhuime et al., 2012 Science|Australia|Dhuime et al., 2012 Science|2641-45|573|4.8|0.6|0.00028|0.281664|0.000031|-27.0|1.1|3050
Dhuime et al., 2012 Science|Australia|Dhuime et al., 2012 Science|2641-46|579|6.4|0.3|0.00033|0.282396|0.000025|-1.0|0.9|1398
Dhuime et al., 2012 Science|Australia|Dhuime et al., 2012 Science|2641-47|480|8.7|0.3|0.00119|0.282379|0.000026|-4.0|0.9|1517
Dhuime et al., 2012 Science|Australia|Dhuime et al., 2012 Science|2641-48|473|9.3|0.4|0.00147|0.282281|0.000047|-7.7|1.7|1750
Dhuime et al., 2012 Science|Australia|Dhuime et al., 2012 Science|2641-49|562|7.8|0.3|0.00027|0.282013|0.000031|-14.9|1.1|2277
Dhuime et al., 2012 Science|Australia|Dhuime et al., 2012 Science|2641-50|589|10.4|0.4|0.00061|0.282402|0.000029|-0.6|1.0|1384
Dhuime et al., 2012 Science|Australia|Dhuime et al., 2012 Science|2641-51|658|7.8|0.3|0.00053|0.282485|0.000033|3.8|1.2|1150
Dhuime et al., 2012 Science|Australia|Dhuime et al., 2012 Science|2641-52|393|9.1|0.6|0.00124|0.282259|0.000031|-10.2|1.1|1842
Dhuime et al., 2012 Science|Australia|Dhuime et al., 2012 Science|2641-53|527|7.4|0.5|0.00016|0.282426|0.000028|-1.0|1.0|1357
Dhuime et al., 2012 Science|Australia|Dhuime et al., 2012 Science|2641-54|96|6.2|0.3|0.00085|0.282752|0.000026|0.9|0.9|888
Dhuime et al., 2012 Science|Australia|Dhuime et al., 2012 Science|2641-55|1162|6.1|0.3|0.00092|0.282112|0.000031|1.5|1.1|1705
Dhuime et al., 2012 Science|Australia|Dhuime et al., 2012 Science|2641-56|475|8.7|0.3|0.00070|0.282352|0.000032|-5.0|1.1|1572
Dhuime et al., 2012 Science|Australia|Dhuime et al., 2012 Science|2641-57|548|5.2|0.3|0.00091|0.282255|0.000022|-6.9|0.8|1753
Dhuime et al., 2012 Science|Australia|Dhuime et al., 2012 Science|2641-58|412|5.5|0.9|0.00065|0.282634|0.000025|3.7|0.9|963
Dhuime et al., 2012 Science|Australia|Dhuime et al., 2012 Science|2641-59|561|13.0|0.8|0.00074|0.282307|0.000024|-4.7|0.9|1622
Dhuime et al., 2012 Science|Australia|Dhuime et al., 2012 Science|2641-60|542|9.6|0.7|0.00033|0.282481|0.000025|1.2|0.9|1226
Dhuime et al., 2012 Science|Australia|Dhuime et al., 2012 Science|2641-61|431|6.8|0.3|0.00159|0.282364|0.000028|-5.7|1.0|1587
Dhuime et al., 2012 Science|Australia|Dhuime et al., 2012 Science|2641-62|926|7.0|0.3|0.00153|0.282436|0.000037|7.5|1.3|1132
Dhuime et al., 2012 Science|Australia|Dhuime et al., 2012 Science|2641-63|1062|6.5|0.8|0.00066|0.282359|0.000028|8.3|1.0|1190
Dhuime et al., 2012 Science|Australia|Dhuime et al., 2012 Science|2346-01a|308|6.4|0.5|0.00102|0.282621|0.000038|0.8|1.3|1063
Dhuime et al., 2012 Science|Australia|Dhuime et al., 2012 Science|2346-01b|317|6.0|0.4|0.00107|0.282569|0.000052|-0.8|1.8|1176
Dhuime et al., 2012 Science|Australia|Dhuime et al., 2012 Science|2346-02|375|4.1|0.4|0.00179|0.282803|0.000054|8.6|1.9|612
Dhuime et al., 2012 Science|Australia|Dhuime et al., 2012 Science|2346-03|331|4.5|0.5|0.00127|0.282963|0.000048|13.4|1.7|331
Dhuime et al., 2012 Science|Australia|Dhuime et al., 2012 Science|2346-04|332|5.8|0.4|0.00087|0.282870|0.000042|10.2|1.5|468
Dhuime et al., 2012 Science|Australia|Dhuime et al., 2012 Science|2346-05|392|10.6|0.4|0.00056|0.282368|0.000031|-6.1|1.1|1582
Dhuime et al., 2012 Science|Australia|Dhuime et al., 2012 Science|2346-06|322|6.6|0.4|0.00109|0.282723|0.000029|4.7|1.0|819
Dhuime et al., 2012 Science|Australia|Dhuime et al., 2012 Science|2346-07|314|7.3|0.4|0.00077|0.282545|0.000061|-1.7|2.1|1229
Dhuime et al., 2012 Science|Australia|Dhuime et al., 2012 Science|2346-08|280|4.4|0.4|0.00208|0.282717|0.000027|3.4|1.0|871
Dhuime et al., 2012 Science|Australia|Dhuime et al., 2012 Science|2346-09|351|7.2|0.4|0.00108|0.282695|0.000032|4.4|1.1|865
Dhuime et al., 2012 Science|Australia|Dhuime et al., 2012 Science|2346-10|313|6.9|0.4|0.00189|0.282665|0.000037|2.3|1.3|969
Dhuime et al., 2012 Science|Australia|Dhuime et al., 2012 Science|2346-11|245|5.8|0.5|0.00135|0.282841|0.000044|7.2|1.5|595
Dhuime et al., 2012 Science|Australia|Dhuime et al., 2012 Science|2346-12|397|7.7|0.4|0.00090|0.282491|0.000052|-1.8|1.8|1305
Dhuime et al., 2012 Science|Australia|Dhuime et al., 2012 Science|2346-13|383|6.9|0.5|0.00106|0.282704|0.000053|5.4|1.9|825
Dhuime et al., 2012 Science|Australia|Dhuime et al., 2012 Science|2346-14|242|6.8|0.4|0.00073|0.282746|0.000037|3.9|1.3|811
Dhuime et al., 2012 Science|Australia|Dhuime et al., 2012 Science|2346-15|313|7.8|0.4|0.00114|0.282678|0.000045|2.9|1.6|929
Dhuime et al., 2012 Science|Australia|Dhuime et al., 2012 Science|2346-16|373|7.0|0.4|0.00115|0.282696|0.000021|4.9|0.7|852
Dhuime et al., 2012 Science|Australia|Dhuime et al., 2012 Science|2346-17|284|8.7|0.5|0.00256|0.282736|0.000038|4.1|1.3|831
Dhuime et al., 2012 Science|Australia|Dhuime et al., 2012 Science|2346-18|1077|7.3|0.5|0.00059|0.282046|0.000034|-2.4|1.2|1892
Dhuime et al., 2012 Science|Australia|Dhuime et al., 2012 Science|2346-19|1127|6.8|0.5|0.00063|0.282188|0.000034|3.7|1.2|1539
Dhuime et al., 2012 Science|Australia|Dhuime et al., 2012 Science|2346-20|342|5.5|0.5|0.00057|0.282904|0.000030|11.7|1.1|378
Dhuime et al., 2012 Science|Australia|Dhuime et al., 2012 Science|2346-21|242|7.5|0.5|0.00056|0.282745|0.000033|3.9|1.2|810
Dhuime et al., 2012 Science|Australia|Dhuime et al., 2012 Science|2346-22|335|5.5|0.5|0.00087|0.282936|0.000027|12.6|0.9|335
Dhuime et al., 2012 Science|Australia|Dhuime et al., 2012 Science|2346-23|308|7.0|0.5|0.00076|0.282612|0.000031|0.6|1.1|1078
Dhuime et al., 2012 Science|Australia|Dhuime et al., 2012 Science|2346-24|310|7.0|0.5|0.00099|0.282617|0.000050|0.7|1.8|1071
Dhuime et al., 2012 Science|Australia|Dhuime et al., 2012 Science|2346-25|245|8.1|0.5|0.00117|0.282766|0.000039|4.6|1.4|768
Dhuime et al., 2012 Science|Australia|Dhuime et al., 2012 Science|2346-26|548|8.8|0.5|0.00012|0.282418|0.000035|-0.8|1.2|1363
Dhuime et al., 2012 Science|Australia|Dhuime et al., 2012 Science|2346-27|245|6.6|0.5|0.00145|0.282776|0.000079|4.9|2.8|747
Dhuime et al., 2012 Science|Australia|Dhuime et al., 2012 Science|2346-28|313|7.7|0.8|0.00071|0.282578|0.000052|-0.5|1.9|1154
Dhuime et al., 2012 Science|Australia|Dhuime et al., 2012 Science|2346-29|561|6.8|1.0|0.00035|0.281831|0.000028|-21.4|1.0|2688
Dhuime et al., 2012 Science|Australia|Dhuime et al., 2012 Science|2346-30|1081|7.7|0.5|0.00127|0.282283|0.000036|5.6|1.3|1381
Dhuime et al., 2012 Science|Australia|Dhuime et al., 2012 Science|2346-31|388|7.0|0.5|0.00058|0.282675|0.000031|4.6|1.1|881
Dhuime et al., 2012 Science|Australia|Dhuime et al., 2012 Science|2346-32|236|6.2|0.5|0.00186|0.282782|0.000059|4.9|2.1|742
Dhuime et al., 2012 Science|Australia|Dhuime et al., 2012 Science|2346-33|304|5.8|0.5|0.00138|0.282594|0.000027|-0.3|0.9|1131
Dhuime et al., 2012 Science|Australia|Dhuime et al., 2012 Science|2346-34|305|4.2|0.5|0.00190|0.282668|0.000044|2.3|1.5|968
Dhuime et al., 2012 Science|Australia|Dhuime et al., 2012 Science|2346-35|335|4.7|0.4|0.00145|0.282925|0.000051|12.1|1.8|347
Dhuime et al., 2012 Science|Australia|Dhuime et al., 2012 Science|2346-36|323|6.7|0.4|0.00079|0.282645|0.000030|2.1|1.1|995
Dhuime et al., 2012 Science|Australia|Dhuime et al., 2012 Science|2346-37|248|7.1|0.4|0.00098|0.282743|0.000025|3.9|0.9|815
Dhuime et al., 2012 Science|Australia|Dhuime et al., 2012 Science|2346-38|507|7.5|0.4|0.00149|0.282371|0.000040|-3.8|1.4|1525
Dhuime et al., 2012 Science|Australia|Dhuime et al., 2012 Science|2346-39|371|9.0|0.4|0.00126|0.282490|0.000027|-2.5|0.9|1329
Dhuime et al., 2012 Science|Australia|Dhuime et al., 2012 Science|2346-40|1125|5.8|0.4|0.00039|0.282139|0.000021|2.1|0.7|1640
Dhuime et al., 2012 Science|Australia|Dhuime et al., 2012 Science|2346-41|400|6.5|0.4|0.00103|0.282431|0.000071|-3.9|2.5|1443
Dhuime et al., 2012 Science|Australia|Dhuime et al., 2012 Science|2346-42|284|5.0|0.4|0.00129|0.282731|0.000049|4.2|1.7|826
Dhuime et al., 2012 Science|Australia|Dhuime et al., 2012 Science|2346-43|1496|8.2|0.4|0.00106|0.281737|0.000046|-4.5|1.6|2359
Dhuime et al., 2012 Science|Australia|Dhuime et al., 2012 Science|2346-44|238|7.3|0.4|0.00164|0.282812|0.000077|6.0|2.7|668
Dhuime et al., 2012 Science|Australia|Dhuime et al., 2012 Science|2346-45|330|4.5|0.4|0.00134|0.282898|0.000037|11.0|1.3|412
Dhuime et al., 2012 Science|Australia|Dhuime et al., 2012 Science|2346-46|321|5.3|0.4|0.00110|0.282649|0.000034|2.1|1.2|990
Dhuime et al., 2012 Science|Australia|Dhuime et al., 2012 Science|2606-01|122|4.6|0.3|0.00124|0.282894|0.000040|6.5|1.4|544
Dhuime et al., 2012 Science|Australia|Dhuime et al., 2012 Science|2606-02|414|8.0|0.4|0.00083|0.282384|0.000042|-5.2|1.5|1539
Dhuime et al., 2012 Science|Australia|Dhuime et al., 2012 Science|2606-03|1190|8.5|0.4|0.00067|0.282120|0.000030|2.7|1.1|1656
Dhuime et al., 2012 Science|Australia|Dhuime et al., 2012 Science|2606-04|402|6.7|0.4|0.00094|0.282565|0.000033|0.9|1.2|1132
Dhuime et al., 2012 Science|Australia|Dhuime et al., 2012 Science|2606-05a|520|8.0|0.4|0.00001|0.282039|0.000034|-14.8|1.2|2237
Dhuime et al., 2012 Science|Australia|Dhuime et al., 2012 Science|2606-05b|536|8.0|0.3|0.00002|0.282026|0.000054|-14.9|1.9|2258
Dhuime et al., 2012 Science|Australia|Dhuime et al., 2012 Science|2606-06|113|5.2|0.8|0.00049|0.282910|0.000035|6.9|1.2|509
Dhuime et al., 2012 Science|Australia|Dhuime et al., 2012 Science|2606-07|216|5.2|0.4|0.00111|0.282811|0.000036|5.6|1.3|680
Dhuime et al., 2012 Science|Australia|Dhuime et al., 2012 Science|2606-08|104|4.5|0.4|0.00063|0.282930|0.000029|7.4|1.0|469
Dhuime et al., 2012 Science|Australia|Dhuime et al., 2012 Science|2606-09|103|5.0|0.4|0.00073|0.282930|0.000040|7.4|1.4|469
Dhuime et al., 2012 Science|Australia|Dhuime et al., 2012 Science|2606-10|102|5.6|0.4|0.00067|0.282809|0.000036|3.1|1.3|751
Dhuime et al., 2012 Science|Australia|Dhuime et al., 2012 Science|2606-11|2662|5.7|0.4|0.00035|0.281126|0.000029|1.2|1.0|2939
Dhuime et al., 2012 Science|Australia|Dhuime et al., 2012 Science|2606-12|418|7.4|0.4|0.00075|0.282288|0.000033|-8.5|1.2|1754
Dhuime et al., 2012 Science|Australia|Dhuime et al., 2012 Science|2606-13|124|2.7|0.4|0.00085|0.282936|0.000033|8.0|1.2|444
Dhuime et al., 2012 Science|Australia|Dhuime et al., 2012 Science|2606-14|467|8.0|0.4|0.00123|0.282406|0.000055|-3.4|2.0|1464
Dhuime et al., 2012 Science|Australia|Dhuime et al., 2012 Science|2606-15|112|4.6|0.4|0.00071|0.282935|0.000037|7.7|1.3|453
Dhuime et al., 2012 Science|Australia|Dhuime et al., 2012 Science|2606-16|117|5.6|0.5|0.00083|0.282884|0.000026|6.0|0.9|569
Dhuime et al., 2012 Science|Australia|Dhuime et al., 2012 Science|2606-17|108|4.0|0.4|0.00077|0.282947|0.000024|8.1|0.8|428
Dhuime et al., 2012 Science|Australia|Dhuime et al., 2012 Science|2606-18|242|6.7|0.4|0.00043|0.282794|0.000033|5.6|1.2|697
Dhuime et al., 2012 Science|Australia|Dhuime et al., 2012 Science|2606-19|419|8.2|0.4|0.00092|0.282375|0.000039|-5.4|1.4|1557
Dhuime et al., 2012 Science|Australia|Dhuime et al., 2012 Science|2606-20|1648|4.9|0.4|0.00068|0.281841|0.000024|3.0|0.9|2005
Dhuime et al., 2012 Science|Australia|Dhuime et al., 2012 Science|2606-21|464|8.4|0.4|0.00159|0.282567|0.000039|2.1|1.4|1104
Dhuime et al., 2012 Science|Australia|Dhuime et al., 2012 Science|2606-22a|194|5.6|0.4|0.00127|0.282852|0.000031|6.5|1.1|598
Dhuime et al., 2012 Science|Australia|Dhuime et al., 2012 Science|2606-22b|193|6.0|0.4|0.00147|0.282907|0.000057|8.4|2.0|473
Dhuime et al., 2012 Science|Australia|Dhuime et al., 2012 Science|2606-23|395|6.1|0.4|0.00174|0.282746|0.000086|7.0|3.0|733
Dhuime et al., 2012 Science|Australia|Dhuime et al., 2012 Science|2606-24|1015|7.1|0.4|0.00048|0.282212|0.000024|2.1|0.9|1549
Dhuime et al., 2012 Science|Australia|Dhuime et al., 2012 Science|2606-25|108|5.2|0.5|0.00135|0.282847|0.000026|4.5|0.9|663
Dhuime et al., 2012 Science|Australia|Dhuime et al., 2012 Science|2606-26|107|4.9|0.4|0.00081|0.282933|0.000032|7.6|1.1|460
Dhuime et al., 2012 Science|Australia|Dhuime et al., 2012 Science|2606-27|115|4.7|0.4|0.00071|0.282914|0.000027|7.0|1.0|500
Dhuime et al., 2012 Science|Australia|Dhuime et al., 2012 Science|2606-28|247|7.7|0.4|0.00086|0.282728|0.000049|3.3|1.7|851
Dhuime et al., 2012 Science|Australia|Dhuime et al., 2012 Science|2606-29|101|6.2|0.4|0.00083|0.282815|0.000027|3.3|1.0|738
Dhuime et al., 2012 Science|Australia|Dhuime et al., 2012 Science|2606-30a|560|7.4|0.4|0.00012|0.282374|0.000027|-2.1|0.9|1456
Dhuime et al., 2012 Science|Australia|Dhuime et al., 2012 Science|2606-30b|551|7.4|0.4|0.00020|0.282350|0.000025|-3.2|0.9|1518
Dhuime et al., 2012 Science|Australia|Dhuime et al., 2012 Science|2606-31a|121|5.2|0.4|0.00079|0.282900|0.000035|6.7|1.2|528
Dhuime et al., 2012 Science|Australia|Dhuime et al., 2012 Science|2606-31b|119|4.9|0.4|0.00087|0.282862|0.000027|5.3|1.0|618
Dhuime et al., 2012 Science|Australia|Dhuime et al., 2012 Science|2606-32|135|5.4|0.3|0.00056|0.282942|0.000025|8.5|0.9|421
Dhuime et al., 2012 Science|Australia|Dhuime et al., 2012 Science|2606-33a|107|5.4|0.4|0.00054|0.282871|0.000030|5.4|1.1|604
Dhuime et al., 2012 Science|Australia|Dhuime et al., 2012 Science|2606-33b|105|5.3|0.4|0.00074|0.282930|0.000024|7.4|0.9|469
Dhuime et al., 2012 Science|Australia|Dhuime et al., 2012 Science|2606-34|520|9.0|0.4|0.00009|0.281613|0.000023|-29.9|0.8|3193
Dhuime et al., 2012 Science|Australia|Dhuime et al., 2012 Science|2606-35|527|5.8|0.4|0.00007|0.281518|0.000019|-33.1|0.7|3396
Dhuime et al., 2012 Science|Australia|Dhuime et al., 2012 Science|2606-36|1334|5.1|0.4|0.00011|0.281680|0.000025|-9.2|0.9|2530
Dhuime et al., 2012 Science|Australia|Dhuime et al., 2012 Science|2606-37a|524|9.8|0.7|0.00006|0.282315|0.000024|-5.0|0.9|1612
Dhuime et al., 2012 Science|Australia|Dhuime et al., 2012 Science|2606-37b|559|10.6|0.4|0.00005|0.282308|0.000020|-4.4|0.7|1604
Dhuime et al., 2012 Science|Australia|Dhuime et al., 2012 Science|2606-38|539|9.0|0.4|0.00017|0.282476|0.000024|1.0|0.8|1235
Dhuime et al., 2012 Science|Australia|Dhuime et al., 2012 Science|2606-39|474|5.3|0.4|0.00062|0.282208|0.000025|-10.0|0.9|1897
Dhuime et al., 2012 Science|Australia|Dhuime et al., 2012 Science|2606-40a|625|13.2|0.4|0.00075|0.282378|0.000023|-0.7|0.8|1420
Dhuime et al., 2012 Science|Australia|Dhuime et al., 2012 Science|2606-40b|592|13.0|0.4|0.00031|0.282344|0.000023|-2.5|0.8|1509
Dhuime et al., 2012 Science|Australia|Dhuime et al., 2012 Science|2606-41|551|7.0|0.5|0.00021|0.282454|0.000023|0.5|0.8|1279
Dhuime et al., 2012 Science|Australia|Dhuime et al., 2012 Science|2606-42|550|7.5|0.4|0.00004|0.282421|0.000017|-0.6|0.6|1352
Dhuime et al., 2012 Science|Australia|Dhuime et al., 2012 Science|2606-43|512|5.8|0.4|0.00002|0.282320|0.000023|-5.0|0.8|1606
Dhuime et al., 2012 Science|Australia|Dhuime et al., 2012 Science|2606-44|547|8.5|0.4|0.00045|0.282373|0.000033|-2.5|1.2|1473
Dhuime et al., 2012 Science|Australia|Dhuime et al., 2012 Science|2606-45|108|5.3|0.4|0.00030|0.282873|0.000035|5.5|1.2|597
Dhuime et al., 2012 Science|Australia|Dhuime et al., 2012 Science|2606-46|113|3.7|0.4|0.00013|0.282937|0.000033|7.9|1.2|443
Dhuime et al., 2012 Science|Australia|Dhuime et al., 2012 Science|2606-47|2192|6.9|0.5|0.00075|0.281223|0.000055|-6.7|2.0|3058
Dhuime et al., 2012 Science|Australia|Dhuime et al., 2012 Science|2606-48|110|5.1|0.4|0.00087|0.282981|0.000040|9.3|1.4|347
Dhuime et al., 2012 Science|Australia|Dhuime et al., 2012 Science|2606-49|105|4.9|0.4|0.00041|0.282943|0.000029|7.9|1.0|437
Dhuime et al., 2012 Science|Australia|Dhuime et al., 2012 Science|2606-50|136|4.6|0.4|0.00054|0.283029|0.000039|11.6|1.4|218
Dhuime et al., 2012 Science|Australia|Dhuime et al., 2012 Science|2606-51|544|5.3|0.4|0.00003|0.282492|0.000034|1.7|1.2|1194
Dhuime et al., 2012 Science|Australia|Dhuime et al., 2012 Science|2606-52a|580|6.1|0.4|0.00131|0.282445|0.000050|0.4|1.8|1309
Dhuime et al., 2012 Science|Australia|Dhuime et al., 2012 Science|2606-52b|575|6.5|0.4|0.00049|0.282406|0.000042|-0.8|1.5|1381
Dhuime et al., 2012 Science|Australia|Dhuime et al., 2012 Science|2606-53|101|5.3|0.4|0.00048|0.282912|0.000051|6.7|1.8|511
Dhuime et al., 2012 Science|Australia|Dhuime et al., 2012 Science|2606-54|586|5.0|0.4|0.00090|0.282150|0.000036|-9.8|1.3|1969
Dhuime et al., 2012 Science|Australia|Dhuime et al., 2012 Science|2606-55a|559|7.3|0.4|0.00043|0.282174|0.000029|-9.3|1.0|1917
Dhuime et al., 2012 Science|Australia|Dhuime et al., 2012 Science|2606-55b|544|6.6|0.4|0.00033|0.282182|0.000023|-9.3|0.8|1908
Dhuime et al., 2012 Science|Australia|Dhuime et al., 2012 Science|2436-01|489|8.2|0.4|0.00057|0.281966|0.000025|-18.3|0.9|2433
Dhuime et al., 2012 Science|Australia|Dhuime et al., 2012 Science|2436-02|518|8.0|0.6|0.00059|0.281810|0.000031|-23.2|1.1|2767
Dhuime et al., 2012 Science|Australia|Dhuime et al., 2012 Science|2436-03|987|5.5|0.4|0.00041|0.282231|0.000022|2.2|0.8|1519
Dhuime et al., 2012 Science|Australia|Dhuime et al., 2012 Science|2436-04|1023|9.5|0.4|0.00105|0.282258|0.000036|3.6|1.3|1462
Dhuime et al., 2012 Science|Australia|Dhuime et al., 2012 Science|2436-05|902|7.1|0.4|0.00106|0.282466|0.000038|8.2|1.3|1061
