Locality	Unit 	Sample_ID	Age	Reference	d18O	Reference	SiO2	Reference	Lithology	
Superior Province Plutonic - Abitibi Subprovince C-82-17 	Mongoose Lake 		2668	4	7.52	4			Hornblendite	
Superior Province Plutonic - Abitibi Subprovince C-82-17 	Mongoose Lake 	C-82-18 	2668	4	7.03	4			Monzonite	
Superior Province Plutonic - Abitibi Subprovince C-82-17 	Wawbewawa 	PN-78-5 	2720	4	5.81	4			Porphyritic diorite	
Superior Province Plutonic - Abitibi Subprovince C-82-17 	Otto Stock 	K-76-2 	2680	4	6.63	4	51.9	4	Syenite	
Superior Province Plutonic - Abitibi Subprovince C-82-17 	Clarice lake 	PN-77-13 	2689	4	4.67	4			Quartz-diorite	
Superior Province Plutonic - Abitibi Subprovince C-82-17 	Garrison Stock 	84-SM-19 	2678	4	5.82	4			Monzonite	
Superior Province Plutonic - Abitibi Subprovince C-82-17 	Bourlamaque batholith  	TK83-6 	2700	4	4.97	4			Quartz diorite	
Superior Province Plutonic - Abitibi Subprovince C-82-17 	Grenada mine 	DD90-53 	2672	4	5.78	4			Syenite porphyry	
Lewisian	Gneiss - xenolith 	98S-SK40 	2700	7	5.8	7			Tonalitic gneiss	
Lewisian	Gneiss - xenolith 	95SK11 	2700	8	5.15	8			Tonalitic gneiss	
Slave Province	Anialik River igneous complex 	Anialik 577 	2694	3	4.96	3			Felsic	
Slave Province	Anialik River igneous complex 	Anialik Diorite 	2683	3	5.18	3			Diorite	
Slave Province	Anialik River igneous complex 	Arcadia Veins 	2670	3	4.87	3			Felsic veins	
Slave Province	Anialik River igneous complex 	Anialik 28 	2694	3	4.46	3			Felsic	
Slave Province	Anialik River igneous complex 	Anialik Tonalite 	2694	3	4.86	3			Tonalite	
China	Qianxi Complex 	CF85-71 	2494	9	5.45	0	68	9	Granodiorite	
China	Qianxi Complex 	CF85-62 	2495	9	5.87	0	53.5	9	Monzodiorite	
China	Taihangshan-Wutaishan 	Ag5-5 	2560	10	5.59	0			Granite	
Brazil - Ribeira Belt Basement 	Tigre Anticline 	GKM-15 	2200	11	5.17	0	57.66	11	Quartz monzonite	
Brazil - Curitiba Microplate 	Atuba Complex 	MJ-138 	2138	11	3.84	0	63.63	11	Charno-enderbite	
Brazil - Curitiba Microplate 	Atuba Complex 	SSAGI-45 	2100	11	5.35	0	70.56	11	Charnockite	
Brazil - Curitiba Microplate 	Atuba Complex 	ITATINS-JF-8d 	2100	64	6.18	0			Amphibole-biotite-monzogranite	
Brazil - Curitiba Microplate 	Atuba Complex 	K-16 	1894	65	4.5	0	65.02	11	Garnet-biotite-monzogranite	
Brazil - Luis Alves Microplate 	Luis Alves Microplate 	MJ-192c 	2200	11	5.56	0	68.2	11	Granulite	
Brazil - Luis Alves Microplate 	Luis Alves Microplate 	OM-298 	2063	11	5.72	0	53.5	11	Quartz-norite (mafic-granulite)	
Brazil - Luis Alves Microplate 	Luis Alves Microplate 	OM-388 	2100	11	6.05	0	64.65	11	Quartz-norite/tonalite	
Brazil - Luis Alves Microplate 	Luis Alves Microplate 	OM-904 	2200	11	5.11	0	55.73	11	Quartz-norite (mafic-granulite)	
Brazil - Luis Alves Microplate 	Luis Alves Microplate 	SN 	2100	11	6.1	0	71	11	Charnockite	
Brazil - Luis Alves Microplate 	Luis Alves Microplate 	TIM-II-75 	2200	11	5.02	0	73	11	Gneiss	
Brazil - Luis Alves Microplate 	Luis Alves Microplate 	MBAN 2C 	2100	11	5.61	0	54	11	Granulitic gneiss	
Brazil - Luis Alves Microplate 	Luis Alves Microplate 	MBAN 2B 	2100	11	6.11	0	55	11	Basic dike	
Brazil - Luis Alves Microplate 	Luis Alves 	OM-165 	2050	11	4.69	0	52.54	11	Biotite-amphibole-gneiss	
Brazil - Caldas Brandão Massif 	Natal Suite	BR 1 	2230	11	4.35	0				
Brazil - Pelotas Batholith 	Encantadas Cx. (basement) 	BRAF-35 	2251	11	5.99	0			Amphibole-gneiss	
Trans Hudson	Wathaman Lake 	HUD84-WL3 	1854	12	5.67	0	66.23	12	Megacrystic granite	
Trans Hudson	Wasekamio Narrows 	HUD85-1 	1819	13	5.62	0			Biotite granite	
Trans Hudson	Hill Island 	HUD85-2 	2400	13	6.04	0			Tonalite gneiss	
Trans Hudson	Dipper Lake 	HUD85-5 	2100	13	6.17	0			Charnockite gneiss	
Trans Hudson	Fournier Lake 	HUD85-8 	2006	13	7.74	0			Tonalite gneiss	
Trans Hudson	Careen Lake 	HUD85-9 	1940	13	6.82	0			Augin gneiss	
Trans Hudson	Careen Lake 	HUD85-10 	2200	13	6.4	0			Hornblende-biotite gneiss	
Trans Hudson	Jackpine Lake 	HUD86-14 	1857	80	5.56	0			Granodiorite	
