Database|Reference|Sample_ID|Comments|Age|d18O|d18O_2sigma
Payne et al., 2016 LITHOS|Bell et al. (2011)|RSES51_12-9|D|3405.0|5.25|0.55
Payne et al., 2016 LITHOS|Bell et al. (2011)|RSES51_2-12 blks1-3|D|3407.0|5.12|0.29
Payne et al., 2016 LITHOS|Bell et al. (2011)|RSES51_11-1|D|3408.0|6.06|0.56
Payne et al., 2016 LITHOS|Bell et al. (2011)|RSES51_16-2|D|3408.0|5.33|0.32
Payne et al., 2016 LITHOS|Bell et al. (2011)|RSES51_15-3|D|3410.0|5.82|0.32
Payne et al., 2016 LITHOS|Bell et al. (2011)|RSES51_17-6 blks2-3,7-10|D|3410.0|5.70|0.30
Payne et al., 2016 LITHOS|Bell et al. (2011)|RSES51_6-2|D|3445.0|5.52|0.32
Payne et al., 2016 LITHOS|Bell et al. (2011)|RSES51_10-6|D|3456.0|5.93|0.57
Payne et al., 2016 LITHOS|Bell et al. (2011)|RSES51_5-4 blks1-7|D|3459.0|5.61|0.30
Payne et al., 2016 LITHOS|Bell et al. (2011)|RSES51_7-1|D|3459.0|5.29|0.30
Payne et al., 2016 LITHOS|Bell et al. (2011)|RSES51_13-14|D|3460.0|5.93|0.33
Payne et al., 2016 LITHOS|Bell et al. (2011)|RSES51_9-11|D|3461.0|6.25|0.60
Payne et al., 2016 LITHOS|Bell et al. (2011)|RSES51_10-10|D|3463.0|5.89|0.31
Payne et al., 2016 LITHOS|Bell et al. (2011)|RSES51_2-4|D|3463.0|5.39|0.32
Payne et al., 2016 LITHOS|Bell et al. (2011)|RSES51_3-3 blks 1-3|D|3512.0|5.88|0.32
Payne et al., 2016 LITHOS|Bell et al. (2011)|RSES51_1-9 blks 1-4|D|3515.0|5.86|0.31
Payne et al., 2016 LITHOS|Bell et al. (2011)|RSES51_3-4|D|3529.0|4.57|0.30
Payne et al., 2016 LITHOS|Bell et al. (2011)|RSES51_2-10|D|3534.0|5.89|0.31
Payne et al., 2016 LITHOS|Bell et al. (2011)|RSES51_2-10|D|3534.0|5.89|0.31
Payne et al., 2016 LITHOS|Bell et al. (2011)|RSES51_3-5|D|3538.0|5.80|0.30
Payne et al., 2016 LITHOS|Bell et al. (2011)|RSES51_14-15|D|3541.0|4.83|0.55
Payne et al., 2016 LITHOS|Bell et al. (2011)|RSES51_17-12|D|3543.0|5.92|0.32
Payne et al., 2016 LITHOS|Bell et al. (2011)|RSES51_2-5|D|3546.0|5.76|0.32
Payne et al., 2016 LITHOS|Bell et al. (2011)|RSES51_3-1|D|3547.0|5.76|0.29
Payne et al., 2016 LITHOS|Bell et al. (2011)|RSES51_5-2|D|3547.0|5.88|0.33
Payne et al., 2016 LITHOS|Bell et al. (2011)|RSES51_6-10|D|3563.0|5.71|0.30
Payne et al., 2016 LITHOS|Bell et al. (2011)|RSES51_6-10|D|3563.0|5.71|0.30
Payne et al., 2016 LITHOS|Bell et al. (2011)|RSES51_6-11|D|3580.0|5.84|0.29
Payne et al., 2016 LITHOS|Bell et al. (2011)|RSES51_14-1|D|3631.0|4.89|0.36
Payne et al., 2016 LITHOS|Bell et al. (2011)|RSES51_3-7|D|3633.0|5.86|0.34
Payne et al., 2016 LITHOS|Bell et al. (2011)|RSES51_4-2|D|3686.0|5.32|0.34
Payne et al., 2016 LITHOS|Bell et al. (2011)|RSES51_3-12|D|3704.0|4.55|0.29
Payne et al., 2016 LITHOS|Bell et al. (2011)|RSES51_4-7|D|3754.0|5.16|0.31
Payne et al., 2016 LITHOS|Bell et al. (2011)|RSES51_17-11|D|3764.0|4.20|0.31
Payne et al., 2016 LITHOS|Bell et al. (2011)|RSES51_10-12 blks 1-4|D|3783.0|5.49|0.35
Payne et al., 2016 LITHOS|Bell et al. (2011)|RSES51_4-5|D|3829.0|6.04|0.30
Payne et al., 2016 LITHOS|Bell et al. (2011)|RSES51_5-1 blks1-5|D|3850.0|5.29|0.34
Payne et al., 2016 LITHOS|Bell et al. (2011)|RSES51_5-1 blks1-5|D|3850.0|5.29|0.34
Payne et al., 2016 LITHOS|Bell et al. (2011)|RSES51_1-6|D|3864.0|4.86|0.34
Payne et al., 2016 LITHOS|Bell et al. (2011)|RSES51_17-1|D|3950.0|5.85|0.30
Payne et al., 2016 LITHOS|Bell et al. (2011)|RSES51_17-2|D|3976.0|6.13|0.33
Payne et al., 2016 LITHOS|Bell et al. (2011)|RSES51_4-9|D|4061.0|5.69|0.30
Payne et al., 2016 LITHOS|Bolhar et al. (2012)|M3|I_av|10.7|10.07|
Payne et al., 2016 LITHOS|Bolhar et al. (2012)|Sa7|I_av|12.1|7.30|
Payne et al., 2016 LITHOS|Bolhar et al. (2012)|Na_3|I_av|12.9|8.78|
Payne et al., 2016 LITHOS|Bolhar et al. (2012)|Na_6|I_av|13.3|9.38|
Payne et al., 2016 LITHOS|Bolhar et al. (2012)|M2|I_av|13.5|9.61|
Payne et al., 2016 LITHOS|Bolhar et al. (2012)|M4|I_av|14.5|10.44|
Payne et al., 2016 LITHOS|Bolhar et al. (2012)|T3|I_av|15.0|8.24|
Payne et al., 2016 LITHOS|Chen et al. (2013)|08JH324|I_av|98.0|5.74|
Payne et al., 2016 LITHOS|Chen et al. (2013)|08JH318|I_av|103.0|5.68|
Payne et al., 2016 LITHOS|Chen et al. (2013)|08JH326|I_av|103.0|5.81|
Payne et al., 2016 LITHOS|Chen et al. (2013)|08JH328|I_av|103.0|5.84|
Payne et al., 2016 LITHOS|Dai et al. (2011)|09DB100|I_av|123.0|4.58|
Payne et al., 2016 LITHOS|Dai et al. (2011)|09DB97|I_av|126.0|5.81|
Payne et al., 2016 LITHOS|Dai et al. (2011)|09ZJP01|I_av|129.0|4.22|
Payne et al., 2016 LITHOS|Dai et al. (2011)|09DSC04|I_av|138.0|5.96|
Payne et al., 2016 LITHOS|Dan et al. (2012)|09AL125|I_av|1895.0|6.73|
Payne et al., 2016 LITHOS|Dan et al. (2012)|09AL05-1|I_av|2329.0|7.28|
Payne et al., 2016 LITHOS|Dan et al. (2012)|09AL142|I_av|2334.0|7.48|
Payne et al., 2016 LITHOS|Dan et al. (2012)|09AL120|I_av|2344.0|8.15|
Payne et al., 2016 LITHOS|Dan et al. (2014)|09AL233|Iav|1947.0|10.07|0.49
Payne et al., 2016 LITHOS|Dan et al. (2014)|09AL258|Iav|1956.0|8.67|0.83
Payne et al., 2016 LITHOS|Dan et al. (2014b)|09AL22|Iav|278.0|5.97|0.38
Payne et al., 2016 LITHOS|Dan et al. (2014b)|09AL70|Iav|280.0|6.80|0.21
Payne et al., 2016 LITHOS|Dan et al. (2014b)|09AL33|Iav|281.0|6.61|0.21
Payne et al., 2016 LITHOS|Dan et al. (2014b)|09AL27|Iav|284.0|5.89|0.69
Payne et al., 2016 LITHOS|Deckart et al. (2014)|FO09-205|Iav|168.9|5.33|0.24
Payne et al., 2016 LITHOS|Deckart et al. (2014)|FO10-20|Iav|299.9|6.58|0.30
Payne et al., 2016 LITHOS|Deckart et al. (2014)|FO09-38|Iav|306.5|7.67|0.58
Payne et al., 2016 LITHOS|Deckart et al. (2014)|FO10-99|Iav|308.3|6.37|0.21
Payne et al., 2016 LITHOS|Deckart et al. (2014)|FO09-54|Iav|308.4|7.36|0.59
Payne et al., 2016 LITHOS|Deckart et al. (2014)|FO09-53|Iav|310.0|7.72|0.51
Payne et al., 2016 LITHOS|Deckart et al. (2014)|FO09-59|Iav|310.5|8.62|0.25
Payne et al., 2016 LITHOS|Deckart et al. (2014)|FO10-08|Iav|329.5|7.40|0.92
Payne et al., 2016 LITHOS|Dhuime et al. (2012)|1746-07|D|25.0|8.30|0.80
Payne et al., 2016 LITHOS|Dhuime et al. (2012)|1774-83a|D|44.0|4.30|0.60
Payne et al., 2016 LITHOS|Dhuime et al. (2012)|1774-83b|D|44.0|4.40|0.60
Payne et al., 2016 LITHOS|Dhuime et al. (2012)|2641-54|D|96.0|6.20|0.30
Payne et al., 2016 LITHOS|Dhuime et al. (2012)|2606-29|D|101.0|6.20|0.40
Payne et al., 2016 LITHOS|Dhuime et al. (2012)|2606-53|D|101.0|5.30|0.40
Payne et al., 2016 LITHOS|Dhuime et al. (2012)|2606-10|D|102.0|5.60|0.40
Payne et al., 2016 LITHOS|Dhuime et al. (2012)|2606-09|D|103.0|5.00|0.40
Payne et al., 2016 LITHOS|Dhuime et al. (2012)|2606-08|D|104.0|4.50|0.40
Payne et al., 2016 LITHOS|Dhuime et al. (2012)|2606-33b|D|105.0|5.30|0.40
Payne et al., 2016 LITHOS|Dhuime et al. (2012)|2606-49|D|105.0|4.90|0.40
Payne et al., 2016 LITHOS|Dhuime et al. (2012)|2606-26|D|107.0|4.90|0.40
Payne et al., 2016 LITHOS|Dhuime et al. (2012)|2606-33a|D|107.0|5.40|0.40
Payne et al., 2016 LITHOS|Dhuime et al. (2012)|2606-17|D|108.0|4.00|0.40
Payne et al., 2016 LITHOS|Dhuime et al. (2012)|2606-25|D|108.0|5.20|0.50
Payne et al., 2016 LITHOS|Dhuime et al. (2012)|2606-45|D|108.0|5.30|0.40
Payne et al., 2016 LITHOS|Dhuime et al. (2012)|2606-48|D|110.0|5.10|0.40
Payne et al., 2016 LITHOS|Dhuime et al. (2012)|2606-15|D|112.0|4.60|0.40
Payne et al., 2016 LITHOS|Dhuime et al. (2012)|2606-06|D|113.0|5.20|0.80
Payne et al., 2016 LITHOS|Dhuime et al. (2012)|2606-46|D|113.0|3.70|0.40
Payne et al., 2016 LITHOS|Dhuime et al. (2012)|2606-27|D|115.0|4.70|0.40
Payne et al., 2016 LITHOS|Dhuime et al. (2012)|2606-16|D|117.0|5.60|0.50
Payne et al., 2016 LITHOS|Dhuime et al. (2012)|2606-31b|D|119.0|4.90|0.40
Payne et al., 2016 LITHOS|Dhuime et al. (2012)|2606-31a|D|121.0|5.20|0.40
Payne et al., 2016 LITHOS|Dhuime et al. (2012)|2606-01|D|122.0|4.60|0.30
Payne et al., 2016 LITHOS|Dhuime et al. (2012)|2606-13|D|124.0|2.70|0.40
Payne et al., 2016 LITHOS|Dhuime et al. (2012)|2606-32|D|135.0|5.40|0.30
Payne et al., 2016 LITHOS|Dhuime et al. (2012)|2606-50|D|136.0|4.60|0.40
Payne et al., 2016 LITHOS|Dhuime et al. (2012)|1746-19b|D|173.0|8.60|0.60
Payne et al., 2016 LITHOS|Dhuime et al. (2012)|2606-22b|D|193.0|6.00|0.40
Payne et al., 2016 LITHOS|Dhuime et al. (2012)|2606-22a|D|194.0|5.60|0.40
Payne et al., 2016 LITHOS|Dhuime et al. (2012)|2606-07|D|216.0|5.20|0.40
Payne et al., 2016 LITHOS|Dhuime et al. (2012)|1746-27|D|232.0|7.70|0.40
Payne et al., 2016 LITHOS|Dhuime et al. (2012)|1774-72|D|232.0|7.20|0.70
Payne et al., 2016 LITHOS|Dhuime et al. (2012)|1746-09|D|236.0|6.30|0.80
Payne et al., 2016 LITHOS|Dhuime et al. (2012)|2346-32|D|236.0|6.20|0.50
Payne et al., 2016 LITHOS|Dhuime et al. (2012)|2346-44|D|238.0|7.30|0.40
Payne et al., 2016 LITHOS|Dhuime et al. (2012)|1746-12|D|241.0|6.00|0.80
Payne et al., 2016 LITHOS|Dhuime et al. (2012)|1746-48a|D|241.0|5.70|0.40
Payne et al., 2016 LITHOS|Dhuime et al. (2012)|2346-14|D|242.0|6.80|0.40
Payne et al., 2016 LITHOS|Dhuime et al. (2012)|2346-21|D|242.0|7.50|0.50
Payne et al., 2016 LITHOS|Dhuime et al. (2012)|2606-18|D|242.0|6.70|0.40
Payne et al., 2016 LITHOS|Dhuime et al. (2012)|1746-14|D|243.0|6.50|0.80
Payne et al., 2016 LITHOS|Dhuime et al. (2012)|2346-11|D|245.0|5.80|0.50
Payne et al., 2016 LITHOS|Dhuime et al. (2012)|2346-25|D|245.0|8.10|0.50
Payne et al., 2016 LITHOS|Dhuime et al. (2012)|2346-27|D|245.0|6.60|0.50
Payne et al., 2016 LITHOS|Dhuime et al. (2012)|1746-23|D|247.0|6.10|0.60
Payne et al., 2016 LITHOS|Dhuime et al. (2012)|1746-48b|D|247.0|5.70|0.50
Payne et al., 2016 LITHOS|Dhuime et al. (2012)|2606-28|D|247.0|7.70|0.40
Payne et al., 2016 LITHOS|Dhuime et al. (2012)|1746-03|D|248.0|7.20|0.80
Payne et al., 2016 LITHOS|Dhuime et al. (2012)|2346-37|D|248.0|7.10|0.40
Payne et al., 2016 LITHOS|Dhuime et al. (2012)|2346-08|D|280.0|4.40|0.40
Payne et al., 2016 LITHOS|Dhuime et al. (2012)|2346-17|D|284.0|8.70|0.50
Payne et al., 2016 LITHOS|Dhuime et al. (2012)|2346-42|D|284.0|5.00|0.40
Payne et al., 2016 LITHOS|Dhuime et al. (2012)|1774-76|D|303.0|6.50|0.70
Payne et al., 2016 LITHOS|Dhuime et al. (2012)|2346-33|D|304.0|5.80|0.50
Payne et al., 2016 LITHOS|Dhuime et al. (2012)|2346-34|D|305.0|4.20|0.50
Payne et al., 2016 LITHOS|Dhuime et al. (2012)|2346-01a|D|308.0|6.40|0.50
Payne et al., 2016 LITHOS|Dhuime et al. (2012)|2346-23|D|308.0|7.00|0.50
Payne et al., 2016 LITHOS|Dhuime et al. (2012)|1746-18|D|309.0|4.70|0.60
Payne et al., 2016 LITHOS|Dhuime et al. (2012)|1774-82a|D|309.0|6.20|0.60
Payne et al., 2016 LITHOS|Dhuime et al. (2012)|2346-24|D|310.0|7.00|0.50
Payne et al., 2016 LITHOS|Dhuime et al. (2012)|1774-82b|D|312.0|6.00|0.60
Payne et al., 2016 LITHOS|Dhuime et al. (2012)|1746-65|D|313.0|5.60|0.40
Payne et al., 2016 LITHOS|Dhuime et al. (2012)|2346-10|D|313.0|6.90|0.40
Payne et al., 2016 LITHOS|Dhuime et al. (2012)|2346-15|D|313.0|7.80|0.40
Payne et al., 2016 LITHOS|Dhuime et al. (2012)|2346-28|D|313.0|7.70|0.80
Payne et al., 2016 LITHOS|Dhuime et al. (2012)|2346-07|D|314.0|7.30|0.40
Payne et al., 2016 LITHOS|Dhuime et al. (2012)|1774-78|D|316.0|5.70|0.60
Payne et al., 2016 LITHOS|Dhuime et al. (2012)|2346-01b|D|317.0|6.00|0.40
Payne et al., 2016 LITHOS|Dhuime et al. (2012)|1746-22|D|320.0|6.00|0.60
Payne et al., 2016 LITHOS|Dhuime et al. (2012)|1774-65a|D|321.0|6.20|0.70
Payne et al., 2016 LITHOS|Dhuime et al. (2012)|2346-46|D|321.0|5.30|0.40
Payne et al., 2016 LITHOS|Dhuime et al. (2012)|2346-06|D|322.0|6.60|0.40
Payne et al., 2016 LITHOS|Dhuime et al. (2012)|2346-36|D|323.0|6.70|0.40
Payne et al., 2016 LITHOS|Dhuime et al. (2012)|1774-65b|D|325.0|5.80|0.70
Payne et al., 2016 LITHOS|Dhuime et al. (2012)|2346-45|D|330.0|4.50|0.40
Payne et al., 2016 LITHOS|Dhuime et al. (2012)|2346-03|D|331.0|4.50|0.50
Payne et al., 2016 LITHOS|Dhuime et al. (2012)|2346-04|D|332.0|5.80|0.40
Payne et al., 2016 LITHOS|Dhuime et al. (2012)|2641-31|D|334.0|7.20|0.60
Payne et al., 2016 LITHOS|Dhuime et al. (2012)|2346-22|D|335.0|5.50|0.50
Payne et al., 2016 LITHOS|Dhuime et al. (2012)|2346-35|D|335.0|4.70|0.40
Payne et al., 2016 LITHOS|Dhuime et al. (2012)|1774-84|D|337.0|6.40|0.70
Payne et al., 2016 LITHOS|Dhuime et al. (2012)|2346-20|D|342.0|5.50|0.50
Payne et al., 2016 LITHOS|Dhuime et al. (2012)|1746-02|D|345.0|6.00|0.80
Payne et al., 2016 LITHOS|Dhuime et al. (2012)|1746-15|D|349.0|6.00|0.70
Payne et al., 2016 LITHOS|Dhuime et al. (2012)|2346-09|D|351.0|7.20|0.40
Payne et al., 2016 LITHOS|Dhuime et al. (2012)|1774-26|D|356.0|6.40|0.60
Payne et al., 2016 LITHOS|Dhuime et al. (2012)|2641-04|D|366.0|6.50|0.50
Payne et al., 2016 LITHOS|Dhuime et al. (2012)|2346-39|D|371.0|9.00|0.40
Payne et al., 2016 LITHOS|Dhuime et al. (2012)|1746-53|D|372.0|6.10|0.40
Payne et al., 2016 LITHOS|Dhuime et al. (2012)|2346-16|D|373.0|7.00|0.40
Payne et al., 2016 LITHOS|Dhuime et al. (2012)|2346-02|D|375.0|4.10|0.40
Payne et al., 2016 LITHOS|Dhuime et al. (2012)|2346-13|D|383.0|6.90|0.50
Payne et al., 2016 LITHOS|Dhuime et al. (2012)|2346-31|D|388.0|7.00|0.50
Payne et al., 2016 LITHOS|Dhuime et al. (2012)|2346-05|D|392.0|10.60|0.40
Payne et al., 2016 LITHOS|Dhuime et al. (2012)|2641-52|D|393.0|9.10|0.60
Payne et al., 2016 LITHOS|Dhuime et al. (2012)|2641-05|D|394.0|7.80|0.60
Payne et al., 2016 LITHOS|Dhuime et al. (2012)|2606-23|D|395.0|6.10|0.40
Payne et al., 2016 LITHOS|Dhuime et al. (2012)|2346-12|D|397.0|7.70|0.40
Payne et al., 2016 LITHOS|Dhuime et al. (2012)|2641-11|D|400.0|7.30|0.50
Payne et al., 2016 LITHOS|Dhuime et al. (2012)|2346-41|D|400.0|6.50|0.40
Payne et al., 2016 LITHOS|Dhuime et al. (2012)|1774-10b|D|401.0|11.90|0.60
Payne et al., 2016 LITHOS|Dhuime et al. (2012)|2641-25|D|402.0|8.10|0.70
Payne et al., 2016 LITHOS|Dhuime et al. (2012)|2606-04|D|402.0|6.70|0.40
Payne et al., 2016 LITHOS|Dhuime et al. (2012)|2641-16|D|405.0|9.10|0.90
Payne et al., 2016 LITHOS|Dhuime et al. (2012)|1746-11|D|409.0|9.40|0.80
Payne et al., 2016 LITHOS|Dhuime et al. (2012)|2641-58|D|412.0|5.50|0.90
Payne et al., 2016 LITHOS|Dhuime et al. (2012)|2606-02|D|414.0|8.00|0.40
Payne et al., 2016 LITHOS|Dhuime et al. (2012)|2606-12|D|418.0|7.40|0.40
Payne et al., 2016 LITHOS|Dhuime et al. (2012)|2606-19|D|419.0|8.20|0.40
Payne et al., 2016 LITHOS|Dhuime et al. (2012)|1746-08|D|431.0|8.20|0.80
Payne et al., 2016 LITHOS|Dhuime et al. (2012)|2641-61|D|431.0|6.80|0.30
Payne et al., 2016 LITHOS|Dhuime et al. (2012)|2436-74|D|458.0|7.90|0.40
Payne et al., 2016 LITHOS|Dhuime et al. (2012)|1774-62|D|464.0|7.70|0.70
Payne et al., 2016 LITHOS|Dhuime et al. (2012)|2606-21|D|464.0|8.40|0.40
Payne et al., 2016 LITHOS|Dhuime et al. (2012)|2606-14|D|467.0|8.00|0.40
Payne et al., 2016 LITHOS|Dhuime et al. (2012)|1746-17|D|468.0|7.50|0.60
Payne et al., 2016 LITHOS|Dhuime et al. (2012)|2641-17|D|471.0|10.90|1.40
Payne et al., 2016 LITHOS|Dhuime et al. (2012)|2641-48|D|473.0|9.30|0.40
Payne et al., 2016 LITHOS|Dhuime et al. (2012)|2606-39|D|474.0|5.30|0.40
Payne et al., 2016 LITHOS|Dhuime et al. (2012)|2641-35|D|475.0|9.10|0.60
Payne et al., 2016 LITHOS|Dhuime et al. (2012)|2641-56|D|475.0|8.70|0.30
Payne et al., 2016 LITHOS|Dhuime et al. (2012)|2436-32|D|475.0|6.90|0.40
Payne et al., 2016 LITHOS|Dhuime et al. (2012)|2641-18|D|476.0|10.00|0.40
Payne et al., 2016 LITHOS|Dhuime et al. (2012)|1774-12|D|477.0|8.00|0.50
Payne et al., 2016 LITHOS|Dhuime et al. (2012)|2641-03|D|477.0|6.80|0.50
Payne et al., 2016 LITHOS|Dhuime et al. (2012)|2641-47|D|480.0|8.70|0.30
Payne et al., 2016 LITHOS|Dhuime et al. (2012)|1774-100|D|482.0|9.60|0.50
Payne et al., 2016 LITHOS|Dhuime et al. (2012)|2641-01|D|482.0|6.60|0.50
Payne et al., 2016 LITHOS|Dhuime et al. (2012)|2436-45a|D|482.0|11.40|0.30
Payne et al., 2016 LITHOS|Dhuime et al. (2012)|1774-64|D|488.0|8.40|0.70
Payne et al., 2016 LITHOS|Dhuime et al. (2012)|1746-16|D|489.0|6.00|0.60
Payne et al., 2016 LITHOS|Dhuime et al. (2012)|2436-01|D|489.0|8.20|0.40
Payne et al., 2016 LITHOS|Dhuime et al. (2012)|2436-29a|D|489.0|7.00|0.60
Payne et al., 2016 LITHOS|Dhuime et al. (2012)|1746-37|D|492.0|8.90|0.40
Payne et al., 2016 LITHOS|Dhuime et al. (2012)|1774-37|D|493.0|8.40|0.50
Payne et al., 2016 LITHOS|Dhuime et al. (2012)|2436-20|D|493.0|10.70|0.60
Payne et al., 2016 LITHOS|Dhuime et al. (2012)|2436-29b|D|496.0|6.10|0.60
Payne et al., 2016 LITHOS|Dhuime et al. (2012)|1746-51|D|497.0|6.50|0.50
Payne et al., 2016 LITHOS|Dhuime et al. (2012)|1774-86|D|500.0|5.10|0.50
Payne et al., 2016 LITHOS|Dhuime et al. (2012)|1774-51|D|503.0|9.70|0.50
Payne et al., 2016 LITHOS|Dhuime et al. (2012)|2436-62|D|503.0|12.30|0.40
Payne et al., 2016 LITHOS|Dhuime et al. (2012)|1774-56|D|507.0|7.20|0.70
Payne et al., 2016 LITHOS|Dhuime et al. (2012)|2346-38|D|507.0|7.50|0.40
Payne et al., 2016 LITHOS|Dhuime et al. (2012)|2436-25|D|507.0|10.90|0.50
Payne et al., 2016 LITHOS|Dhuime et al. (2012)|2641-43|D|509.0|7.80|0.60
Payne et al., 2016 LITHOS|Dhuime et al. (2012)|2436-41|D|509.0|8.80|0.40
Payne et al., 2016 LITHOS|Dhuime et al. (2012)|1774-28b|D|511.0|5.40|0.60
Payne et al., 2016 LITHOS|Dhuime et al. (2012)|1774-46|D|511.0|10.80|0.60
Payne et al., 2016 LITHOS|Dhuime et al. (2012)|1774-69a|D|511.0|6.80|0.60
Payne et al., 2016 LITHOS|Dhuime et al. (2012)|2436-46|D|511.0|8.40|0.30
Payne et al., 2016 LITHOS|Dhuime et al. (2012)|1746-24|D|512.0|6.00|0.60
Payne et al., 2016 LITHOS|Dhuime et al. (2012)|1774-18|D|512.0|8.80|0.60
Payne et al., 2016 LITHOS|Dhuime et al. (2012)|1774-95|D|512.0|8.60|0.50
Payne et al., 2016 LITHOS|Dhuime et al. (2012)|1774-97|D|512.0|8.60|0.50
Payne et al., 2016 LITHOS|Dhuime et al. (2012)|2606-43|D|512.0|5.80|0.40
Payne et al., 2016 LITHOS|Dhuime et al. (2012)|1774-69b|D|513.0|7.00|0.70
Payne et al., 2016 LITHOS|Dhuime et al. (2012)|2436-44|D|516.0|8.10|0.30
Payne et al., 2016 LITHOS|Dhuime et al. (2012)|1774-98|D|517.0|9.60|0.60
Payne et al., 2016 LITHOS|Dhuime et al. (2012)|2436-33|D|517.0|8.70|0.40
Payne et al., 2016 LITHOS|Dhuime et al. (2012)|1746-32|D|518.0|6.90|0.50
Payne et al., 2016 LITHOS|Dhuime et al. (2012)|2436-02|D|518.0|8.00|0.60
Payne et al., 2016 LITHOS|Dhuime et al. (2012)|1774-87|D|519.0|8.20|0.50
Payne et al., 2016 LITHOS|Dhuime et al. (2012)|2606-05a|D|520.0|8.00|0.40
Payne et al., 2016 LITHOS|Dhuime et al. (2012)|2606-34|D|520.0|9.00|0.40
Payne et al., 2016 LITHOS|Dhuime et al. (2012)|1774-90|D|521.0|7.60|0.50
Payne et al., 2016 LITHOS|Dhuime et al. (2012)|1746-28|D|522.0|6.30|0.50
Payne et al., 2016 LITHOS|Dhuime et al. (2012)|1774-05|D|522.0|9.50|0.70
Payne et al., 2016 LITHOS|Dhuime et al. (2012)|1774-30|D|522.0|6.00|0.60
Payne et al., 2016 LITHOS|Dhuime et al. (2012)|1774-52|D|522.0|6.50|0.70
Payne et al., 2016 LITHOS|Dhuime et al. (2012)|1774-88|D|522.0|6.90|0.50
Payne et al., 2016 LITHOS|Dhuime et al. (2012)|2641-27|D|522.0|7.20|0.70
Payne et al., 2016 LITHOS|Dhuime et al. (2012)|2436-34|D|522.0|7.50|0.40
Payne et al., 2016 LITHOS|Dhuime et al. (2012)|2436-40|D|522.0|12.40|0.40
Payne et al., 2016 LITHOS|Dhuime et al. (2012)|1746-46|D|523.0|6.20|0.40
Payne et al., 2016 LITHOS|Dhuime et al. (2012)|2436-06|D|523.0|7.90|0.40
Payne et al., 2016 LITHOS|Dhuime et al. (2012)|1774-58|D|524.0|11.80|0.70
Payne et al., 2016 LITHOS|Dhuime et al. (2012)|2606-37a|D|524.0|9.80|0.70
Payne et al., 2016 LITHOS|Dhuime et al. (2012)|1774-09|D|525.0|10.20|0.70
Payne et al., 2016 LITHOS|Dhuime et al. (2012)|1774-96|D|525.0|9.50|0.50
Payne et al., 2016 LITHOS|Dhuime et al. (2012)|1746-25|D|527.0|5.70|0.60
Payne et al., 2016 LITHOS|Dhuime et al. (2012)|1774-53|D|527.0|8.10|0.70
Payne et al., 2016 LITHOS|Dhuime et al. (2012)|1774-60|D|527.0|8.60|0.60
Payne et al., 2016 LITHOS|Dhuime et al. (2012)|2641-53|D|527.0|7.40|0.50
Payne et al., 2016 LITHOS|Dhuime et al. (2012)|2606-35|D|527.0|5.80|0.40
Payne et al., 2016 LITHOS|Dhuime et al. (2012)|2436-18|D|527.0|6.20|0.70
Payne et al., 2016 LITHOS|Dhuime et al. (2012)|1746-40|D|528.0|6.00|0.40
Payne et al., 2016 LITHOS|Dhuime et al. (2012)|1774-42|D|528.0|7.30|0.50
Payne et al., 2016 LITHOS|Dhuime et al. (2012)|1774-99|D|528.0|8.20|0.50
Payne et al., 2016 LITHOS|Dhuime et al. (2012)|1746-59|D|529.0|7.10|0.50
Payne et al., 2016 LITHOS|Dhuime et al. (2012)|1774-39|D|529.0|7.60|0.60
Payne et al., 2016 LITHOS|Dhuime et al. (2012)|2436-87b|D|529.0|4.20|0.40
Payne et al., 2016 LITHOS|Dhuime et al. (2012)|1774-94b|D|530.0|7.60|0.50
Payne et al., 2016 LITHOS|Dhuime et al. (2012)|1774-101|D|530.0|7.70|0.50
Payne et al., 2016 LITHOS|Dhuime et al. (2012)|2641-21|D|530.0|7.00|0.50
Payne et al., 2016 LITHOS|Dhuime et al. (2012)|2436-87a|D|530.0|4.00|0.40
Payne et al., 2016 LITHOS|Dhuime et al. (2012)|1774-22|D|531.0|10.80|0.60
Payne et al., 2016 LITHOS|Dhuime et al. (2012)|2641-12a|D|531.0|10.10|0.50
Payne et al., 2016 LITHOS|Dhuime et al. (2012)|1746-26|D|532.0|10.00|0.40
Payne et al., 2016 LITHOS|Dhuime et al. (2012)|1746-57|D|532.0|4.80|0.60
Payne et al., 2016 LITHOS|Dhuime et al. (2012)|1774-07b|D|532.0|11.00|0.60
Payne et al., 2016 LITHOS|Dhuime et al. (2012)|1774-08|D|532.0|12.60|0.60
Payne et al., 2016 LITHOS|Dhuime et al. (2012)|1774-55|D|533.0|7.60|0.60
Payne et al., 2016 LITHOS|Dhuime et al. (2012)|1774-67|D|533.0|7.70|0.60
Payne et al., 2016 LITHOS|Dhuime et al. (2012)|1774-68|D|533.0|5.80|0.70
Payne et al., 2016 LITHOS|Dhuime et al. (2012)|1774-92|D|533.0|8.20|0.60
Payne et al., 2016 LITHOS|Dhuime et al. (2012)|1774-29|D|534.0|8.00|0.60
Payne et al., 2016 LITHOS|Dhuime et al. (2012)|2641-13|D|534.0|6.40|0.40
Payne et al., 2016 LITHOS|Dhuime et al. (2012)|2436-68|D|534.0|8.00|0.40
Payne et al., 2016 LITHOS|Dhuime et al. (2012)|1774-15|D|535.0|13.90|0.60
