Reference,Sample ,U-Pb (Ma) , δ18O ,±2s
62,DMC-1.S23 ,126,6.3,0.3
63,96SZ05 ,126,4.9,
63,96SZ17 ,126,4.9,
63,96SZ22 ,126,5,
63,96SZ28 ,126,5,
63,96SZ33 ,126,4.9,
63,96SZ45 ,126,5,
63,96SZ52 ,126,4.8,
63,96SZ54 ,126,5,
63,96SZ69 ,126,4.8,
63,96SZ81 ,126,5,
63,96SZ83 ,126,5,
63,96SZ91 ,126,5.1,
63,S-1 ,126,5.1,
63,S-2 ,126,5.1,
9,09DB100 10 ,127,4.3,0.3
9,09DB100 11 ,127,4.9,0.2
9,09DB100 16 ,127,4.6,0.2
9,09DB100 7 ,127,4.3,0.3
9,09DB97 12 ,127,6.2,0.2
9,09DB97 15 ,127,5.5,0.2
9,09DSC04 14 ,127,5.7,0.2
9,09DSC04 3 ,127,6.2,0.2
9,09DSC04 6 ,127,5.7,0.2
9,09ZJP01 1 ,127,4.6,0.2
9,09ZJP01 12 ,127,4.5,0.2
9,09ZJP01 13 ,127,4.6,0.3
9,09ZJP01 5 ,127,4.1,0.2
62,FJZ-1.S02 ,130,6.5,0.3
62,QTJ-2.S12 ,130,6,0.4
5,RNZ87 ,131,4.5,
5,TT6 ,131,9,
9,09DB97 17 ,131,5.6,0.2
9,09DB97 4 ,131,5.5,0.2
9,09DSC04 16 ,131,6.4,0.2
9,09DSC04 18 ,131,6,0.3
9,09DSC04 6 ,131,5.7,0.2
9,09ZJP01 4 ,131,2.3,0.2
62,DMC-1.S03 ,131,6.3,0.2
62,DMC-1.S18 ,131,6.1,0.2
62,FJZ-1.S03 ,131,6.4,0.3
62,FJZ-1.S05 ,131,6.2,0.3
62,TLS01-14 ,131,7.4,0.33
9,09DB97 2 ,132,5.2,0.2
9,09DSC04 1 ,132,5.9,0.2
62,DMC-1.S11 ,132,6.1,0.3
62,DMC-1.S14 ,132,6.1,0.2
62,DMC-1.S16 ,132,6,0.2
62,DMC-1.S21 ,132,5.9,0.1
62,FJZ-1.S12 ,132,5.6,0.3
62,TGS-7-1.S02 ,132,6.6,0.3
5,RNZ20 ,133,5.8,
5,SF2A ,133,4.1,
9,09ZJP01 14 ,133,2.5,0.3
53,08FS01 02 ,133,7.9,0.259932
53,08FS01 03 ,133,7.7,0.2582444
53,08FS01 04 ,133,7.5,0.1640006
53,08FS01 05 ,133,7.4,0.2676672
53,08FS01 06 ,133,7.3,0.277213
53,08FS01 07 ,133,7.1,0.2420286
53,08FS01 08 ,133,7.3,0.3012858
53,08FS01 09 ,133,7.6,0.327764
53,08FS01 11 ,133,7,0.2803088
53,08FS01 12 ,133,7.2,0.3142738
53,08FS01 13 ,133,7,0.19731694
53,08FS01 14 ,133,7.5,0.2512878
53,08FS01 15 ,133,7.2,0.2782082
53,08FS01 16 ,133,7.6,0.4311896
53,08FS01 17 ,133,8.1,0.4408712
53,08FS01 18 ,133,7.9,0.3654224
53,08FS01 19 ,133,7.7,0.3923744
53,08FS01 23 ,133,7.8,0.4155502
53,08FS01 24 ,133,6.8,0.3423864
53,08FS02 04 ,133,7.8,0.3485648
53,08FS02 05 ,133,7.3,0.2799272
53,08FS02 06 ,133,6.7,0.2376524
53,08FS02 07 ,133,7,0.18596552
53,08FS02 08 ,133,7.1,0.2185608
53,08FS02 09 ,133,8,0.19646408
53,08FS02 10 ,133,8.1,0.3334052
53,08FS02 11 ,133,7.4,0.17087464
53,08FS02 12 ,133,7.2,0.2493702
53,08FS02 13 ,133,7.5,0.2002768
53,08FS02 15 ,133,7.7,0.2754592
53,08FS02 16 ,133,7.8,0.3326586
53,08FS02 17 ,133,7.8,0.4130014
53,08FS02 18 ,133,7.4,0.3159218
53,08FS02 19 ,133,7.2,0.3069864
53,08FS02 20 ,133,7.3,0.3159516
53,08FS02 21 ,133,7,0.3035502
53,08FS02 22 ,133,6.9,0.2136164
53,08FS02 23 ,133,7.3,0.3628272
53,08FS02 24 ,133,7.2,0.343336
53,08FS02 25 ,133,7,0.2745126
53,08FS02 26 ,133,7.4,0.2813702
53,08FS02 27 ,133,7.1,0.3756372
53,08FS02 28 ,133,7.5,0.3517354
53,08FS02 29 ,133,7.5,0.2514514
53,08FS02 30 ,133,7.9,0.3531232
53,08FS02 31 ,133,7.2,0.3106984
53,08FS02 32 ,133,6.9,0.417362
53,08FS02 33 ,133,6.8,0.4243344
53,08FS02 34 ,133,6.4,0.2385816
53,08FS02 35 ,133,7.3,0.4474562
53,08FS02 36 ,133,7.7,0.3578088
53,08FS07 01 ,133,6.7,0.2453144
53,08FS07 02 ,133,6.5,0.326657
53,08FS07 03 ,133,6.3,0.3832
53,08FS07 04 ,133,6.7,0.296618
53,08FS07 05 ,133,6.6,0.3414846
53,08FS07 06 ,133,7.5,0.312277
53,08FS07 07 ,133,7.5,0.2693284
53,08FS07 08 ,133,6.8,0.3427322
53,08FS07 09 ,133,6.7,0.324051
53,08FS07 10 ,133,7.5,0.3532182
53,08FS07 11 ,133,7.5,0.2763732
53,08FS07 12 ,133,6.7,0.3645108
